frame_idx,timestamp,cx,cy,area,command
265,1764914983.3439672,164,273,29626,FORWARD
266,1764914983.3505092,162,271,29821,FORWARD
267,1764914983.3569722,156,270,29981,FORWARD
268,1764914983.3632886,145,269,30341,FORWARD
269,1764914983.3689477,131,267,30449,FORWARD
270,1764914983.374542,115,266,30791,TURN_LEFT
271,1764914983.3811383,97,265,30806,TURN_LEFT
272,1764914983.388843,84,266,29854,TURN_LEFT
273,1764914983.394616,77,268,27382,TURN_LEFT
274,1764914983.4003584,72,272,25652,TURN_LEFT
275,1764914983.4075046,68,275,24103,TURN_LEFT
276,1764914983.413576,67,277,23474,TURN_LEFT
277,1764914983.4216745,67,278,23582,TURN_LEFT
278,1764914983.4282494,68,279,24054,TURN_LEFT
279,1764914983.436049,70,278,24594,TURN_LEFT
280,1764914983.4426441,72,276,25420,TURN_LEFT
281,1764914983.4489784,73,275,25914,TURN_LEFT
282,1764914983.4564722,74,274,26231,TURN_LEFT
283,1764914983.4621618,74,274,26171,TURN_LEFT
284,1764914983.4700089,72,275,25505,TURN_LEFT
285,1764914983.4764307,69,278,24392,TURN_LEFT
286,1764914983.4830997,64,282,22438,TURN_LEFT
287,1764914983.4903338,58,284,20259,TURN_LEFT
288,1764914983.4960508,52,285,17937,TURN_LEFT
289,1764914983.503485,46,286,15794,TURN_LEFT
290,1764914983.5094745,41,289,14153,TURN_LEFT
291,1764914983.5156398,38,290,12960,TURN_LEFT
292,1764914983.5224586,35,292,11918,TURN_LEFT
293,1764914983.5280125,33,293,11132,TURN_LEFT
294,1764914983.5346103,32,294,10485,TURN_LEFT
295,1764914983.5419712,31,294,10194,TURN_LEFT
296,1764914983.547873,30,294,9743,TURN_LEFT
297,1764914983.5543883,29,294,9480,TURN_LEFT
298,1764914983.5602987,29,295,9296,TURN_LEFT
299,1764914983.5660357,28,297,8837,TURN_LEFT
300,1764914983.57264,26,299,8003,TURN_LEFT
301,1764914983.5786173,23,302,6732,TURN_LEFT
302,1764914983.5845764,20,305,5566,TURN_LEFT
303,1764914983.5909169,16,308,4298,TURN_LEFT
304,1764914983.596709,13,310,3316,TURN_LEFT
305,1764914983.603435,11,308,2823,TURN_LEFT
306,1764914983.6091413,11,308,2848,TURN_LEFT
307,1764914983.6152596,14,304,3468,TURN_LEFT
308,1764914983.6214285,17,295,4639,TURN_LEFT
309,1764914983.6271067,22,286,6761,TURN_LEFT
310,1764914983.6326275,28,276,9666,TURN_LEFT
311,1764914983.6388414,36,267,12741,TURN_LEFT
312,1764914983.6450105,44,259,15597,TURN_LEFT
313,1764914983.6511154,51,252,18428,TURN_LEFT
314,1764914983.6575358,58,247,21112,TURN_LEFT
315,1764914983.6652408,65,243,23835,TURN_LEFT
316,1764914983.671404,72,239,26427,TURN_LEFT
317,1764914983.6777666,79,237,28925,TURN_LEFT
318,1764914983.6841922,85,236,31221,TURN_LEFT
319,1764914983.6917841,95,237,32465,TURN_LEFT
320,1764914983.6976206,107,239,32111,TURN_LEFT
321,1764914983.7036726,118,241,31756,TURN_LEFT
322,1764914983.7100053,128,243,31562,FORWARD
323,1764914983.716061,135,246,31468,FORWARD
324,1764914983.7233703,143,248,31415,FORWARD
325,1764914983.7293782,154,249,31606,FORWARD
326,1764914983.7365384,166,252,31535,FORWARD
327,1764914983.7423644,179,255,31419,FORWARD
328,1764914983.7479315,191,256,30879,FORWARD
329,1764914983.755188,200,254,30882,TURN_RIGHT
330,1764914983.7613575,207,252,30927,TURN_RIGHT
331,1764914983.7673273,213,251,31016,TURN_RIGHT
332,1764914983.7750359,217,250,31009,TURN_RIGHT
333,1764914983.7807083,219,249,31078,TURN_RIGHT
334,1764914983.7877393,220,248,31155,TURN_RIGHT
335,1764914983.7934709,220,247,31188,TURN_RIGHT
336,1764914983.7993605,219,248,31218,TURN_RIGHT
337,1764914983.805622,216,248,31429,TURN_RIGHT
338,1764914983.811307,210,248,31527,TURN_RIGHT
339,1764914983.8174794,202,247,31749,TURN_RIGHT
