frame_idx,timestamp,cx,cy,area,command
190,1764915892.9412012,174,290,45123,FORWARD
191,1764915892.946893,174,290,45123,FORWARD
192,1764915892.952141,174,290,45123,FORWARD
193,1764915892.958054,174,290,45123,FORWARD
194,1764915892.9636052,174,290,45123,FORWARD
195,1764915892.968857,174,290,45123,FORWARD
196,1764915892.9742005,174,290,45123,FORWARD
197,1764915892.9798567,174,290,45123,FORWARD
198,1764915892.9845264,174,290,45123,FORWARD
199,1764915892.9907746,174,290,45123,FORWARD
200,1764915892.9968398,174,290,45123,FORWARD
201,1764915893.0021372,174,290,45123,FORWARD
202,1764915893.0074704,174,290,45123,FORWARD
203,1764915893.0144715,174,290,45123,FORWARD
204,1764915893.0198798,174,290,45123,FORWARD
205,1764915893.02545,174,290,45123,FORWARD
206,1764915893.0313063,174,290,45123,FORWARD
207,1764915893.0362859,174,290,45123,FORWARD
208,1764915893.0417435,174,290,45123,FORWARD
209,1764915893.047601,174,290,45123,FORWARD
210,1764915893.0528312,174,290,45123,FORWARD
211,1764915893.0582898,174,290,45123,FORWARD
212,1764915893.064326,174,290,45123,FORWARD
213,1764915893.0695984,174,290,45123,FORWARD
214,1764915893.0745392,174,290,45123,FORWARD
215,1764915893.080058,174,290,45123,FORWARD
216,1764915893.0850983,174,290,45123,FORWARD
217,1764915893.090445,174,290,45123,FORWARD
218,1764915893.0964935,174,290,45123,FORWARD
219,1764915893.1016226,174,290,45123,FORWARD
220,1764915893.1063,174,290,45123,FORWARD
221,1764915893.1116595,174,290,45123,FORWARD
222,1764915893.117611,174,290,45123,FORWARD
223,1764915893.1220589,174,290,45123,FORWARD
224,1764915893.126608,174,290,45123,FORWARD
225,1764915893.1320567,174,290,45123,FORWARD
226,1764915893.1373808,174,290,45123,FORWARD
227,1764915893.1422431,174,290,45123,FORWARD
228,1764915893.1481264,174,290,45123,FORWARD
229,1764915893.1537442,174,290,45123,FORWARD
230,1764915893.158698,174,290,45123,FORWARD
231,1764915893.1654794,174,290,45123,FORWARD
232,1764915893.1705024,174,290,45123,FORWARD
233,1764915893.175008,174,290,45123,FORWARD
234,1764915893.1808476,174,290,45123,FORWARD
235,1764915893.1862574,174,290,45123,FORWARD
236,1764915893.1907048,174,290,45123,FORWARD
237,1764915893.195706,174,290,45123,FORWARD
238,1764915893.2021937,174,290,45123,FORWARD
239,1764915893.2070663,174,290,45123,FORWARD
240,1764915893.211905,174,290,45123,FORWARD
241,1764915893.2185583,174,290,45123,FORWARD
242,1764915893.2231045,174,290,45123,FORWARD
243,1764915893.2276564,174,290,45123,FORWARD
244,1764915893.2332628,174,290,45123,FORWARD
245,1764915893.2381525,174,290,45123,FORWARD
246,1764915893.2426383,174,290,45123,FORWARD
247,1764915893.2491727,174,290,45123,FORWARD
248,1764915893.254136,174,290,45123,FORWARD
249,1764915893.2590237,174,290,45123,FORWARD
250,1764915893.265388,174,290,45123,FORWARD
251,1764915893.2710211,174,290,45123,FORWARD
252,1764915893.2755487,174,290,45123,FORWARD
253,1764915893.282374,174,290,45123,FORWARD
254,1764915893.2879708,174,290,45123,FORWARD
255,1764915893.292477,174,290,45123,FORWARD
256,1764915893.2981827,174,290,45123,FORWARD
257,1764915893.3050084,174,290,45123,FORWARD
258,1764915893.3096006,174,290,45123,FORWARD
259,1764915893.3152142,174,290,45123,FORWARD
260,1764915893.3225858,174,290,45123,FORWARD
261,1764915893.328126,174,290,45123,FORWARD
262,1764915893.3353338,174,290,45123,FORWARD
263,1764915893.3405144,174,290,45123,FORWARD
